iter	RMSE
0	18.65697776
1	18.20166647
2	17.67938216
3	17.21926995
4	16.74596256
5	16.30123477
6	15.88269582
7	15.49619174
8	15.11035614
9	14.74247324
10	14.37672228
11	13.98566902
12	13.6579059
13	13.33020186
14	13.02987861
15	12.68969987
16	12.38729584
17	12.13103962
18	11.82896513
19	11.58604398
20	11.3288133
21	11.08968305
22	10.81678348
23	10.58303036
24	10.38182443
25	10.15979341
26	9.940933667
27	9.73015846
28	9.54616053
29	9.36116656
30	9.16719128
31	9.000092651
32	8.829661833
33	8.658117657
34	8.492112873
35	8.326302698
36	8.177067576
37	8.038345729
38	7.905495222
39	7.788590572
40	7.655463999
41	7.558489575
42	7.436003828
43	7.316672367
44	7.1802783
45	7.072219981
46	6.951755953
47	6.8524714
48	6.751446745
49	6.655912761
50	6.552530963
51	6.46969525
52	6.383819758
53	6.313592492
54	6.233668256
55	6.15754907
56	6.08749436
57	6.008874473
58	5.936095436
59	5.868788588
60	5.802742445
61	5.738729958
62	5.67306769
63	5.61731665
64	5.558214844
65	5.490747284
66	5.438854568
67	5.384727605
68	5.328133585
69	5.266875632
70	5.218864005
71	5.162853885
72	5.110986139
73	5.068575445
74	5.013302375
75	4.969861437
76	4.932990278
77	4.900880849
78	4.851803907
79	4.809004673
80	4.768054716
81	4.740408484
82	4.707112401
83	4.652762693
84	4.614945806
85	4.586110748
86	4.560047745
87	4.502461686
88	4.471656425
89	4.431590285
90	4.397245452
91	4.36275398
92	4.338620345
93	4.296357907
94	4.268581602
95	4.232749995
96	4.212614975
97	4.181370724
98	4.15959463
99	4.136465527
100	4.103639697
101	4.079056501
102	4.052677381
103	4.00953782
104	3.98686182
105	3.951898858
106	3.936605426
107	3.920991594
108	3.883150075
109	3.870480975
110	3.841260874
111	3.825841636
112	3.814334935
113	3.795409163
114	3.77199734
115	3.748610487
116	3.728325823
117	3.7141158
118	3.683916039
119	3.670843875
120	3.657564724
121	3.629411854
122	3.608463677
123	3.565071201
124	3.537870659
125	3.521989423
126	3.50151831
127	3.472507651
128	3.453013038
129	3.447771911
130	3.439033703
131	3.429715902
