iter	Passed	Remaining
0	48	21402
1	50	11124
2	51	7527
3	57	6256
4	58	5072
5	59	4270
6	59	3701
7	60	3265
8	61	2921
9	61	2648
10	62	2422
11	62	2233
12	63	2074
13	63	1937
14	64	1818
15	64	1714
16	65	1623
17	65	1541
18	66	1467
19	66	1401
20	67	1341
21	67	1287
22	68	1238
23	68	1192
24	69	1150
25	69	1111
26	70	1075
27	70	1042
28	71	1010
29	71	981
30	72	953
31	72	927
32	73	904
33	74	881
34	74	860
35	75	840
36	75	821
37	76	802
38	76	785
39	77	769
40	77	753
41	78	738
42	78	723
43	79	710
44	79	697
45	80	684
46	80	672
47	81	660
48	81	648
49	82	638
50	82	628
51	83	618
52	83	608
53	84	599
54	84	590
55	85	582
56	85	574
57	86	566
58	86	558
59	87	550
60	87	543
61	88	536
62	88	529
63	89	523
64	89	516
65	90	510
66	90	504
67	91	498
68	91	492
69	92	486
70	92	481
71	93	475
72	95	477
73	95	473
74	96	468
75	97	465
76	97	460
77	98	455
78	98	450
79	99	446
80	99	441
81	100	437
82	100	432
83	101	428
84	101	424
85	102	420
86	102	416
87	103	412
88	103	408
89	104	405
90	105	402
91	105	399
92	106	395
93	106	392
94	107	388
95	107	385
96	108	381
97	108	378
98	109	375
99	109	372
100	110	369
101	110	366
102	111	363
103	111	360
104	112	357
105	112	354
106	114	354
107	114	352
108	115	349
109	115	346
110	116	344
111	116	341
112	117	338
113	117	336
114	118	333
115	118	331
116	119	328
117	120	326
118	120	324
119	121	321
120	128	337
121	128	334
122	129	332
123	129	329
124	130	327
125	130	325
126	131	322
127	131	320
128	132	318
129	132	315
130	133	313
131	133	311
132	134	308
133	134	306
134	135	304
135	135	302
136	136	300
137	136	298
138	137	296
139	137	294
140	138	292
141	138	290
142	139	288
143	139	286
144	140	284
145	140	282
146	141	280
147	141	278
148	142	277
149	142	275
150	143	273
151	143	271
152	144	270
153	145	268
154	145	266
155	146	264
156	146	263
157	147	262
158	148	260
159	148	259
160	149	257
161	150	257
162	151	255
163	151	254
164	152	253
165	153	252
166	153	250
167	154	249
168	155	247
169	155	246
170	156	244
171	156	243
172	157	241
173	157	240
174	158	238
175	158	237
176	159	235
177	159	234
178	160	232
179	160	231
180	161	230
181	161	228
182	162	227
183	162	225
184	163	224
185	164	223
186	164	221
187	165	220
188	165	219
189	166	217
190	166	216
191	167	215
192	167	213
193	168	212
194	168	211
195	169	209
196	169	208
197	170	207
198	170	205
199	171	204
200	171	203
201	172	202
202	172	200
203	173	199
204	173	198
205	174	197
206	174	195
207	175	194
208	175	193
209	176	192
210	176	191
211	177	190
212	177	188
213	178	187
214	178	186
215	179	185
216	180	184
217	180	183
218	181	181
219	181	180
220	182	179
221	182	178
222	183	177
223	183	176
224	184	175
225	185	174
226	185	173
227	186	172
228	187	171
229	187	170
230	188	169
231	188	168
232	189	167
233	189	166
234	190	165
235	190	164
236	191	163
237	191	161
238	192	160
239	192	159
240	193	158
241	193	157
242	194	156
243	194	155
244	195	154
245	196	153
246	196	152
247	197	151
248	197	150
249	198	149
250	198	148
251	199	147
252	199	146
253	200	145
254	200	145
255	201	144
256	202	143
257	202	142
258	203	141
259	203	140
260	204	139
261	204	138
262	205	137
263	205	136
264	206	135
265	206	134
266	207	133
267	208	132
268	208	131
269	209	130
270	209	130
271	210	129
272	210	128
273	211	127
274	212	126
275	212	125
276	213	124
277	213	123
278	214	122
279	214	121
280	215	121
281	215	120
282	216	119
283	217	118
284	217	117
285	218	116
286	218	115
287	219	115
288	219	114
289	220	113
290	221	112
291	221	111
292	222	110
293	222	109
294	223	108
295	223	108
296	224	107
297	224	106
298	225	105
299	226	104
300	226	103
301	227	103
302	227	102
303	228	101
304	228	100
305	229	99
306	229	98
307	230	98
308	231	97
309	231	96
310	232	95
311	232	94
312	233	93
313	233	93
314	234	92
315	234	91
316	235	90
317	237	90
318	238	89
319	239	89
320	240	88
321	240	87
322	241	86
323	241	85
324	242	85
325	243	84
326	243	83
327	245	83
328	247	82
329	247	81
330	248	80
331	248	80
332	249	79
333	249	78
334	250	77
335	251	76
336	251	76
337	252	75
338	252	74
339	253	73
340	253	72
341	254	72
342	255	71
343	257	71
344	259	70
345	261	70
346	263	69
347	265	69
348	266	68
349	267	68
350	268	67
351	268	66
352	269	65
353	269	64
354	270	63
355	270	63
356	271	62
357	272	61
358	272	60
359	273	59
360	273	59
361	274	58
362	276	57
363	277	57
364	279	56
365	281	56
366	282	55
367	284	54
368	286	54
369	288	53
370	289	53
371	291	52
372	293	51
373	294	51
374	295	50
375	295	49
376	296	48
377	297	47
378	297	47
379	298	46
380	298	45
381	299	44
382	299	43
383	300	43
384	301	42
385	301	41
386	302	40
387	302	39
388	303	39
389	305	38
390	306	37
391	308	36
392	308	36
393	309	35
394	309	34
395	310	33
396	310	32
397	311	32
398	312	31
399	313	30
400	314	29
401	314	28
402	315	28
403	315	27
404	316	26
405	316	25
406	317	24
407	318	24
408	318	23
409	319	22
410	319	21
411	320	20
412	320	20
413	326	19
414	327	18
415	327	18
416	328	17
417	328	16
418	329	15
419	330	14
420	330	14
421	332	13
422	333	12
423	333	11
424	334	11
425	334	10
426	335	9
427	336	8
428	336	7
429	337	7
430	338	6
431	339	5
432	339	4
433	340	3
434	340	3
435	341	2
436	341	1
437	342	0
438	343	0
