Top_R,Top_G,Top_B,Top_H,Top_S,Top_V,Thickness
12.1656,11.7032,8.1244,23.5788,90.0008,12.396,48.26666667
12.4724,12.7284,11.01,24.1728,39.9828,12.8452,47.96666667
12.6808,12.6408,9.8016,29.8416,62.2292,12.8824,48.16666667
11.1372,11.4652,8.5556,27.2936,68.9256,11.6236,48.6
5.444,3.1864,1.4096,30.2408,206.5236,5.5604,59.53333333
5.738,5.2796,0.764,29.5672,227.3472,6.4204,59.76666667
10.8384,3.9388,0.9044,9.6488,235.6836,10.8384,59.8
2.9816,5.2524,1.4588,46.9212,195.1676,5.3036,60.1
2.4404,1.7536,1.7528,43.2484,145.6836,2.8768,68.26666667
0.85,0.832,2.9524,100.9452,196.3108,3.0804,68.83333333
1.7224,1.9372,2.3212,37.6732,62.5692,2.4428,68.2
1.1404,0.9256,3.078,93.5968,151.4156,3.086,69.7
0.8996,1.0892,8.9468,118.944,235.4232,8.9468,79.1
1.2048,0.8708,12.8804,120.7032,242.94,12.8804,80.03333333
0.8884,1.1356,12.748,119.4472,240.1116,12.748,79.0
0.4748,2.3596,8.1108,112.5836,239.5528,8.1108,81.46666667
0.7164,10.0032,27.4716,109.47,248.7236,27.4716,92.4
1.294,7.6976,34.192,114.1116,245.8904,34.192,92.83333333
1.0136,10.2532,29.3572,110.1296,246.5628,29.3572,93.53333333
0.6656,9.7228,31.9856,111.2308,249.834,31.9856,93.5
0.4672,2.9912,15.7504,114.94,248.1604,15.7504,81.5
0.486,2.5484,16.0696,115.9652,247.9876,16.0696,81.83333333
0.322,1.7188,13.4116,116.8856,249.3704,13.4116,81.73333333
0.5424,2.4504,19.262,116.8476,248.2916,19.262,80.66666667
0.2724,1.4648,7.616,114.7928,246.2784,7.6236,74.76666667
0.4328,0.5036,8.7296,119.6272,243.576,8.7296,75.03333333
1.1188,0.596,9.4328,117.9608,237.1676,9.4328,75.53333333
4.2312,0.534,12.7496,128.7584,245.3332,12.7528,75.63333333
9.754,2.2176,0.5716,7.1224,242.5712,9.754,61.36666667
4.102,3.1372,0.5976,25.7052,223.5916,4.3532,61.53333333
5.3148,1.638,0.638,13.0064,230.9228,5.3148,61.8
5.8364,1.8208,1.212,44.8832,214.1808,5.8364,61.86666667
3.3128,0.2656,5.8984,136.8776,244.6644,6.0696,63.5
5.96,0.6476,2.2568,119.1028,229.6376,6.204,64.9
3.3512,0.49,1.8908,121.8368,227.0356,3.78,63.5
0.5668,3.3084,13.0492,113.3528,244.4864,13.0492,77.03333333
0.422,2.4616,17.8764,116.2728,249.7412,17.8764,78.53333333
0.8584,0.6884,14.0592,120.268,248.3616,14.0592,77.2
0.57,2.8728,15.8436,115.5544,246.342,15.8436,77.13333333
0.4964,5.9372,22.2116,112.4872,249.7068,22.2116,87.6
1.0916,8.6852,26.1052,110.9204,244.9564,26.1052,87.76666667
0.8388,7.0344,28.2568,113.2068,248.236,28.2568,87.06666667
0.642,9.1204,25.202,109.5548,248.9888,25.202,88.56666667
1.6572,19.392,41.8132,106.6796,245.38,41.8132,101.8333333
1.682,17.3976,41.1972,108.1232,244.9996,41.1972,101.4666667
2.158,19.584,43.756,107.4212,242.8308,43.756,101.4333333
1.5124,22.8768,40.884,103.5448,245.748,40.884,102.2666667
0.6024,1.4764,11.0056,117.6448,241.246,11.0056,73.23333333
0.9112,2.12,13.396,117.182,240.6012,13.396,73.86666667
1.78,0.9308,15.7336,121.5656,243.574,15.7336,73.13333333
0.4008,2.1208,14.2824,116.3716,248.1632,14.2824,73.76666667
0.708,12.064,26.3408,106.5776,248.7584,26.3408,84.5
0.6996,9.1016,29.5224,111.1552,249.3124,29.5224,82.73333333
0.7012,11.7764,28.5684,108.0328,249.074,28.5684,84.53333333
0.7624,8.5824,27.2248,111.0408,248.2464,27.2248,83.06666667
3.6024,21.9668,43.536,106.1,234.5748,43.536,96.63333333
1.8544,19.1836,37.8196,105.3896,242.9584,37.8196,95.93333333
0.9,20.7776,44.2348,106.186,249.8996,44.2348,97.46666667
1.8708,23.0208,46.7192,105.8072,245.1336,46.7192,97.93333333
15.4428,28.8736,41.144,104.2456,159.6884,41.144,111.9
12.228,27.6784,42.9316,105.0736,183.364,42.9316,109.4333333
7.0976,28.6592,45.3444,103.0468,216.3408,45.3444,109.3
12.4216,31.1304,43.4376,101.7788,182.9764,43.4392,111.5333333
1.2372,15.324,33.6788,106.9848,246.1636,33.6788,77.8
1.1192,18.7476,39.4656,106.108,247.9116,39.4656,80.3
0.9,14.3056,28.84,105.4272,247.4836,28.84,75.9
0.768,16.2048,30.832,104.4936,249.04,30.832,77.73333333
10.7356,33.9464,43.5704,98.7564,193.1104,43.5704,100.0666667
8.1204,27.1856,41.9356,103.058,206.6328,41.9356,93.93333333
7.1704,27.0824,41.4008,102.6964,211.9036,41.4008,96.16666667
6.9048,25.9768,40.1464,102.8596,211.8744,40.1464,95.9
23.6896,32.7772,22.8148,56.9796,80.794,32.7772,124.4333333
29.8416,32.3408,29.6752,58.408,25.086,32.344,117.7
22.2532,29.3868,26.564,76.0788,62.5116,29.4252,115.4666667
23.1676,32.4524,25.2444,66.0816,74.4148,32.4524,120.0666667
30.3312,29.4,5.2448,29.1968,212.5244,31.018,153.3
27.864,27.7904,1.4992,29.9916,242.556,28.3872,161.1
30.3688,29.8276,6.1356,29.666,206.456,31.2116,141.1
25.1612,28.0876,7.7372,34.7556,186.0448,28.234,150.0666667
0.4808,1.682,12.8912,117.0776,246.5168,12.8912,69.53333333
0.8068,1.8364,10.4476,116.714,236.2164,10.4476,69.43333333
0.3328,2.2176,10.3616,114.32,247.9304,10.3616,68.7
0.7584,2.3748,11.4804,115.7552,238.224,11.4804,69.86666667
0.656,11.1516,28.018,108.3948,249.4276,28.018,82.16666667
0.9476,10.7728,30.7236,110.0924,247.5652,30.7236,83.43333333
0.478,7.454,23.3728,110.82,250.1896,23.3728,82.16666667
1.0,9.722,26.7956,109.902,245.9356,26.7956,84.33333333
4.4908,22.7316,46.2388,106.9816,230.466,46.2388,96.26666667
1.0888,21.7876,42.7844,104.9732,248.7512,42.7844,96.1
2.1792,21.3732,45.3348,106.6288,243.1696,45.3348,96.56666667
2.1108,21.9796,38.3508,103.45,241.4036,38.3508,96.8
3.808,30.0552,41.6164,98.988,232.478,41.6164,110.5
12.2476,31.3048,42.8776,101.316,182.708,42.8776,111.3333333
13.2636,27.7332,43.2376,105.416,176.7752,43.2376,109.7333333
8.3668,28.5268,41.044,101.5476,203.8864,41.044,111.4
7.6,0.7756,1.5476,63.6976,239.8752,7.6272,62.36666667
3.446,1.5532,0.6924,24.936,195.0828,3.4516,63.16666667
2.2184,1.4156,0.582,24.2184,163.1788,2.2184,63.16666667
3.506,2.0052,0.5156,17.702,227.5364,3.5348,63.6
0.4688,1.0152,8.4072,118.0856,246.08,8.4072,75.2
1.586,0.3644,10.5452,123.4712,246.0676,10.5452,74.2
1.2104,0.9128,9.0432,120.4812,236.3552,9.0432,74.2
0.6276,0.654,8.628,119.4224,243.656,8.628,74.8
0.3804,6.1832,20.1072,111.166,250.4964,20.1072,86.46666667
0.6012,7.5508,25.876,111.8012,249.32,25.876,87.7
0.4088,6.3172,22.4252,112.064,250.5604,22.4252,86.8
0.6024,7.3876,24.0184,111.4024,249.0172,24.0184,87.36666667
0.7076,16.0568,36.18,106.8348,250.312,36.18,98.33333333
0.9788,17.9192,34.7644,104.8444,248.1876,34.7644,99.36666667
1.1464,17.5664,37.2944,106.1532,247.6356,37.2944,98.7
0.872,16.4596,35.614,106.3896,249.0044,35.614,100.6
5.1788,2.674,0.5268,15.2308,231.6324,5.1948,61.3
1.3008,3.262,1.2292,61.2316,206.2696,3.2668,61.73333333
3.7768,2.842,0.4296,25.3692,233.1348,4.066,61.06666667
2.7648,2.3504,1.0688,20.6192,163.4348,2.8728,61.46666667
2.1936,0.6992,8.3564,124.686,232.3272,8.358,73.3
1.2312,0.496,7.8488,123.22,241.8804,7.8488,74.06666667
1.5912,1.1128,6.1088,120.972,222.6304,6.1088,72.8
2.5068,0.5356,6.7868,128.7352,231.0264,6.8204,73.4
0.3584,5.0528,17.1836,111.7992,249.7992,17.1836,84.5
0.5228,2.968,18.7544,115.998,248.3528,18.7544,84.73333333
0.7184,3.714,16.9936,114.448,245.1144,16.9936,84.03333333
0.486,4.5392,22.1104,114.212,249.3836,22.1104,84.63333333
0.724,15.4616,33.4912,106.3536,249.726,33.4912,98.36666667
0.9048,13.1052,38.7656,110.3592,249.1856,38.7656,97.03333333
1.0604,13.6216,35.2664,108.8924,247.8428,35.2664,96.26666667
0.6776,14.108,34.6032,108.0844,250.1316,34.6032,97.76666667
