Top_R,Top_G,Top_B,Top_H,Top_S,Top_V,Thickness
11.5752,10.8824,8.0332,22.158,79.0864,11.5752,48.26666667
10.2804,10.434,9.0232,23.5584,41.5664,10.5508,47.96666667
10.0228,9.9236,7.9204,29.0352,56.4348,10.0308,48.16666667
8.3744,8.5136,6.1348,26.7236,77.8136,8.656,48.6
4.1716,2.2884,1.1488,27.9292,211.79,4.3,59.53333333
3.6796,3.3596,1.2708,26.7248,180.2076,3.6796,59.76666667
7.428,5.1608,3.1944,15.0744,154.8588,7.428,59.8
14.6844,4.9792,35.1944,65.7416,223.336,40.5384,60.1
1.3584,1.0224,1.0276,29.636,107.082,1.6552,68.26666667
0.65,0.5644,1.6964,66.8984,125.7508,1.7092,68.83333333
0.9084,1.0872,1.4816,36.6604,73.3572,1.5904,68.2
0.3048,0.3048,0.7264,25.4696,48.1584,0.732,69.7
1.3804,1.3624,6.5256,118.1444,218.2956,6.5348,79.1
1.0968,0.6756,10.0836,120.9192,241.7008,10.0836,80.03333333
3.5644,4.8332,12.2356,114.5636,248.316,16.3392,79.0
0.8528,1.7504,6.1172,113.9672,223.8516,6.1464,81.46666667
7.2672,11.232,18.7232,109.312,156.1264,18.7232,92.4
1.2064,6.7856,27.2024,113.5888,244.294,27.2024,92.83333333
6.5528,11.2184,21.6008,110.7568,177.9112,21.6008,93.53333333
2.202,9.006,26.05,111.3996,234.2092,26.05,93.5
2.8764,4.6152,11.5496,114.1752,192.8164,11.5504,81.5
2.2964,2.7372,12.1064,118.592,207.6348,12.1064,81.83333333
0.6892,0.7392,10.2904,119.7336,238.9844,10.2904,81.73333333
5.122,6.4052,14.9588,116.6,168.252,14.9588,80.66666667
6.084,1.244,6.1504,110.5964,244.036,11.3212,74.76666667
1.0032,1.786,6.9756,114.0548,247.798,7.8452,75.03333333
1.79,1.2996,7.8016,116.5152,213.912,7.8248,75.53333333
5.0,3.2144,10.4608,126.7344,177.9376,10.4656,75.63333333
7.2532,4.482,3.0804,11.6932,155.5176,7.2532,61.36666667
2.4372,2.2068,0.6468,24.502,192.6964,2.4372,61.53333333
3.26,1.8928,0.5052,17.696,230.7296,3.26,61.8
3.942,1.3864,0.6472,41.3868,226.85,3.996,61.86666667
8.1552,86.3388,10.5392,98.5736,247.512,91.1604,63.5
4.5872,1.2088,2.3336,89.6528,194.1372,5.05,64.9
2.1796,0.2772,1.642,82.8068,161.0124,2.5992,63.5
96.4484,7.114,13.92,100.948,248.2988,102.228,77.03333333
2.2772,4.0232,13.9188,115.496,214.8996,13.9188,78.53333333
159.5736,167.3292,21.2688,53.5356,239.4128,203.438,77.2
2.5028,4.1416,11.984,115.108,203.4516,11.984,77.13333333
5.992,6.9872,11.9792,114.9376,129.0188,11.9808,87.6
6.5472,10.5216,18.8572,110.006,167.1584,18.866,87.76666667
2.1936,7.6448,23.1264,112.0524,232.3156,23.1264,87.06666667
79.844,9.944,20.3324,104.7844,243.8092,89.1452,88.56666667
1.1792,15.29,32.504,106.4092,246.2356,32.504,101.8333333
2.7824,14.5424,31.3428,107.548,232.9988,31.3428,101.4666667
5.7484,19.1208,36.256,106.8668,215.2,36.256,101.4333333
7.4404,20.1468,29.582,102.3968,191.1264,29.582,102.2666667
31.8128,3.2328,10.2092,110.1148,242.892,39.4828,73.23333333
3.0936,2.9656,10.1936,120.2232,188.6356,10.1952,73.86666667
1.7872,1.1988,14.052,121.3448,237.8684,14.052,73.13333333
0.888,1.3888,11.0872,118.408,236.9584,11.0872,73.76666667
0.5204,9.3696,20.448,106.4124,249.0456,20.448,84.5
236.7532,7.5348,27.1756,163.6092,247.2448,237.1216,82.73333333
4.388,11.8248,22.4196,107.5936,205.7748,22.4196,84.53333333
1.3968,7.4976,21.2136,110.6208,239.396,21.2136,83.06666667
14.3556,23.0692,34.0052,106.6192,148.1348,34.0052,96.63333333
11.8332,19.038,26.9052,105.6576,143.578,26.9052,95.93333333
153.4864,19.0348,37.6548,130.7144,231.6256,160.8912,97.46666667
2.0232,20.1636,41.6276,106.4696,243.1332,41.6276,97.93333333
12.9156,24.86,35.5216,103.9696,162.68,35.5216,111.9
9.536,22.9412,36.1788,104.9744,189.0848,36.1788,109.4333333
52.5996,23.484,38.5756,111.4716,220.8628,74.5988,109.3
18.4328,28.2828,35.312,102.2512,122.5168,35.332,111.5333333
8.7596,17.2092,26.5708,105.7904,171.8544,26.5708,77.8
199.4492,17.5176,34.6556,136.074,236.2988,201.8484,80.3
0.8568,10.5088,21.9328,106.0996,245.544,21.9328,75.9
9.724,16.5672,22.6952,104.08,146.5712,22.6952,77.73333333
21.6288,30.7456,34.8688,99.4256,97.4508,34.8688,100.0666667
15.122,26.374,34.8908,102.9444,145.228,34.8908,93.93333333
9.1904,24.2608,35.2992,102.628,189.7944,35.2992,96.16666667
56.4732,21.2976,34.7624,110.9796,220.2604,75.092,95.9
21.7012,27.682,20.534,54.7632,69.7708,27.698,124.4333333
24.0548,24.3364,23.962,7.728,4.1684,24.3364,117.7
18.1284,20.3588,19.5892,77.4192,29.3852,20.474,115.4666667
20.4308,29.378,22.3748,65.8448,79.1228,29.378,120.0666667
25.8448,24.7656,4.4568,28.7492,212.9196,26.3056,153.3
23.5008,22.6896,2.296,29.2128,231.904,23.8416,161.1
22.3896,22.3224,11.5768,30.1424,127.6204,22.9176,141.1
20.5428,22.6772,27.5836,59.9024,185.71,41.1032,150.0666667
1.8872,2.2864,10.966,118.4396,212.8012,10.966,69.53333333
3.452,3.4008,8.012,117.024,153.9552,8.012,69.43333333
0.5916,1.8144,8.1712,115.318,238.1016,8.1712,68.7
3.8532,4.3972,8.5764,113.8656,145.8128,8.5892,69.86666667
4.1572,9.2296,24.5536,110.2772,248.6016,26.9532,82.16666667
6.664,13.3024,25.9576,109.74,190.3728,25.9576,83.43333333
4.4112,8.7384,18.9836,110.9096,196.2652,18.9836,82.16666667
14.6332,16.7084,21.734,111.8,83.9516,21.734,84.33333333
20.236,27.8616,38.14,107.0464,119.9828,38.14,96.26666667
248.4312,13.5784,34.7408,177.1056,241.3672,248.4312,96.1
13.0888,24.4504,38.5048,106.4624,168.5636,38.5048,96.56666667
9.7212,19.5532,27.8172,103.4256,166.5068,27.8172,96.8
244.82,21.1056,34.6924,175.8916,232.864,244.8856,110.5
13.2172,27.8148,36.4404,101.3048,163.2304,36.4404,111.3333333
