Top_RGB_R,Top_RGB_G,Top_RGB_B,Bot_RGB_R,Bot_RGB_G,Bot_RGB_B,Top_YUV_Y,Top_YUV_U,Top_YUV_V,Bot_YUV_Y,Bot_YUV_U,Bot_YUV_V,Top_HSV_H,Top_HSV_S,Top_HSV_V,Bot_HSV_H,Bot_HSV_S,Bot_HSV_V,Top_LAB_L,Top_LAB_A,Top_LAB_B,Bot_LAB_L,Bot_LAB_A,Bot_LAB_B,Top_hls_H,Top_hls_L,Top_hls_S,Bot_hls_H,Bot_hls_L,Bot_hls_S,Thickness
11.576,10.8832,8.1364,30.214,37.774,50.4468,10.8832,126.6404,128.6928,37.0204,134.658,122.1472,22.0556,77.1296,11.576,108.764,102.3824,50.4468,7.938,127.7256,129.5176,37.9392,128.6176,118.6128,22.0552,10.0796,48.2524,108.7624,40.566,64.2544,48.26666667
12.4712,12.6248,11.2136,25.9992,34.8912,43.0424,12.5096,127.3584,127.9616,33.1272,132.5536,121.858,23.5584,34.0868,12.7416,104.28,100.5756,43.0424,9.136,127.8464,128.9052,33.6496,126.7188,121.4292,23.5584,11.9808,19.2812,104.2764,34.6176,63.272,47.96666667
12.7704,12.7176,9.9168,31.3148,35.7876,41.826,12.5384,126.712,128.232,35.1444,130.8864,124.2544,29.7648,60.9592,12.9592,107.4632,64.022,41.8276,9.1536,127.7216,129.5456,35.5236,127.6692,123.3704,29.7648,11.5876,36.0004,107.4464,36.5932,36.9364,48.16666667
11.2308,11.4564,8.854,24.8812,32.4324,39.4952,11.1748,126.9128,128.056,31.0332,131.8252,122.6152,26.6792,61.8904,11.6148,104.4248,93.9192,39.5104,8.1944,127.6992,129.3244,30.69,126.8772,122.194,26.6792,10.3208,38.6628,104.4104,32.3344,58.2892,48.6
5.4696,3.212,1.4352,26.0116,32.542,38.0564,3.6852,126.94,129.7764,31.2852,130.9216,123.1944,30.2408,205.4796,5.586,104.3064,80.3884,38.0564,2.1696,128.2872,129.1704,30.9328,126.7972,123.3564,30.1924,3.4992,183.6056,104.3064,32.1788,48.6532,59.53333333
5.7508,5.2796,0.882,26.9032,33.372,36.5628,4.9116,126.1624,128.8264,31.8604,130.0864,123.3948,29.3668,224.3508,6.4204,100.3004,67.9172,36.5628,3.5316,127.3152,129.9592,31.7468,126.0056,124.9988,29.3284,3.6656,206.784,100.3004,31.836,39.7044,59.76666667
10.8848,4.1844,1.0452,30.1068,32.702,37.174,5.8484,125.9224,132.4684,32.502,130.0048,125.6192,9.982,232.9496,10.8848,109.7536,49.0108,37.174,3.5832,129.5328,130.1052,31.9392,128.0504,124.5304,9.9576,6.0832,217.5732,109.7536,33.6864,27.2264,59.8
3.0396,5.3108,1.5084,19.99,33.028,39.2096,4.2156,126.7416,126.8344,29.7516,132.2948,119.3828,46.8728,194.0972,5.362,99.6652,124.8692,39.2124,3.122,126.5984,129.616,30.298,124.4424,122.0804,46.864,3.51,172.0904,99.6636,29.7936,84.0032,60.1
2.5236,1.8392,1.8368,24.9024,32.504,37.3152,2.0308,127.9568,128.4928,30.8064,130.7792,122.7248,43.2324,142.5788,2.9608,101.9344,84.8172,37.3232,1.2272,128.2736,128.1064,30.5612,126.1228,123.6576,43.2324,2.052,131.0476,101.9312,31.3176,51.5608,68.26666667
1.3556,1.3124,3.3556,21.3072,32.9112,36.7828,1.442,128.9536,127.9136,29.8932,131.0384,120.488,101.1688,167.4976,3.4836,97.15,106.6544,36.8032,0.9292,128.404,127.056,30.1888,124.3344,123.8072,101.1688,2.2044,144.408,97.1424,29.2588,69.9384,68.83333333
